sentence,label
"干干 19 月 生日快乐
",p
"现场 前线 呢 ， 开场 了 没
",p
"lz 真的 不是 在 变相 安利 吗 ？ ？ ？ ？
",n
"爱奇 艺要 背锅 了
",n
"好像 开麦 了   我 去 给 大家 听听
",p
"几点 开始 的 ？ 也是 俩 小时 ？
",p
"希望 有 不怕 耳聋 的 小天使 能 做 新 的 车祸 现场 供 大家 开心
",n
"他 生日 咋 好像 没 人 送祝福
",n
"丑 。 。 。 。 爆 。 。 。 。 了
",n
"祝福 可能 一会儿 放 ， 要不然 一直 跳舞 ， 开麦 唱歌 下面 还 能活 几个 ！ 让 他 喘 口气 儿 吧 可 ！
",n
"gg 明星 生活 好几年 了 也 没 怎么 认识 圈内人 吧 ， 就 看到 个 lxl 祝福
",n
"跨 🔥
",n
"好丑
",n
"气短 还 坐 着 ， 葛 老师 不行 啊 。
",n
"脸上 好大 一个 坑
",n
"为什么 干 今天 开始 唱 英文歌 了 ？ 他 中文 歌 都 没练 好 吧 ， 怎么 突然 开始 全英文
",n
"袋友 是 去 当 前线 了 嘛
",p
"* * ， 我刚 去 看 了 之前 的 图 ， 怎么 杰克森 姨 还要 弹钢琴 ？ ？ ？ ？ ？
",n
"myss
",n
"好 冷清 。 。 。 都 没人 直播 。 。 。 一直 唱 还是 一直 跳 。 。 。 现场 有没有 熟人 来看 线下 活动 啊 ， 传说 中 的 大佬 出现 没 啊
",n
"搬 一下站 子 修过 的 图 好 吗 ？ 我 中午 吃 的 有点儿 多 都 唱 了 啥 呀 ？
",p
"跨 🔥
",n
"到 时放 出来 的 会 是 现场 录播 画面 吗 ， 不会 是 母带加 抠 图 吧 。
",n
"卡 了 半个 小时 才 进去 ， 今天 的 颜 不行 ， 但 依然 卖弄 男友 力 和 高逼格 感觉 qzh 肯定 很 吃 这 一套 了
",n
"一如既往 的 丑 ， 溜 肩 黑脸 大头 脸坑 ， 出 道 最早 ， 唱功 最烂 ， 麻烦 团队 别 逼 干干 了 ， 干干 只 喜欢 跳舞 ， 不太 喜欢 唱歌 ， 可是 跳舞 跳 全场 ， 丑干 是 要 气短 而亡 吧 ，
",n
"外星人 👽
",n
"芊芊 表现 的 咋样
",p
"😭 😭
",n
"看到 这个 图 真的 心里 一 紧 ， 酸 的 难受
",n
"伊拉克 ， 伊朗 ， 哎
",n
"可怜 的 还是 平民百姓
",n
"希望 下辈子 别 做人 了 ， 命运 这 玩意 真的 没有 道理 可言 ， 按理说 越 黑 的 天空 越能 看到 星辰 ， 但 现在 除了 绝望 还是 绝望 ， 充满 了 对 人性 的 怀疑 。
",n
"忽然 觉得 在 死亡 面前 ， 人类 都 很 渺小 ， 羡慕 那些 看 懂 了 依旧 充满希望 和 热爱 的 人 ， 那些 人 在 我 眼中 ， 才 是 真正 的 “ 看 开 ”
",n
"想起 一句 话 ： 世界 上 只有 一种 英雄主义 ， 看清 这个 世界 ， 然后 爱上 它
",p
"是 好 可怜 啊 ， 叙利亚 的 百姓
",n
"美国 有种 打仗 ， 那 就 先 把 所有 民众 撤离 ， 接收 到 自己 国家 安顿 好 呀 ， 为什么 要 让 民众 做 炮灰 ?
",n
"好帅
",p
"是 吧
",p
"真的 好好看 精致 贵气
",p
"怎么 辣 么 快 追过来 ， 真的 好看 ， 我次 奥
",p
"一早 起来 看到 古天乐 得 金像奖 了
",p
"调整 一下
",p
"我 的 心情 这 段时间 是 春困 了 吗
",p
"倦倦 的 ， 我 挺 喜欢 卡洛琳 的 性格 ， 积极向上 杠杠 的
",p
"麦克斯 的 dirty 我 也 喜欢
",p
"买 了 几双 尖头 高跟鞋 和 几只 口红 ， 要是 还有 其他 同款 我 也 想 买 ， 裙子 买 了 几条 ， 疯狂 购物 的 四月
",p
"不过 也 不算 很多 吧 自我安慰 ， 想着 总比 拿 去 吃 好 了
",p
"前 几天 疯吃海 喝 ， 小龙虾 真的 很 好吃 烤肉 也 喜欢 ， 火锅 串串 ， 我前 一个 星期 真 疯狂
",p
"好 了 ， 我 知道 不是 我 一个 人有 这种 状态 了 ， 这个 季节 都 有 这种 心情
",p
"for   china 哈哈哈哈 哈哈哈哈 哈哈哈
",p
"什么 垃圾 玩意儿 ， 倒数 就 一年 多 ， 倒贴 就算 了 连 驻华 办 都 没有 进 的 东西
",n
"吃软饭 吃 了 这么久 还 不是 辣鸡
",n
"像 在 看 智障 本障
",n
"想染 这种 颜色 ， 好 刺激
",p
"我 看见 卡卡 唠叨 ， 我 好 喜欢 她 啊 …
",p
"卡卡 不要 染 这个 发色 ， 我 尝试 过 ， 有点 难驾驭 ， 平时 穿衣服 搭配 都 要 思考 半天 ， 一不小心 特别 像 村姑 ， 就 非农 那种
",n
"日 ， 好 喜欢 ella 唱歌
",p
"应援 大 作战 ！ ！ ！
",p
"帝国 的 演唱会 和 其他人 的 演唱会 不同 ， 我们 不是 去 听歌 的 ， 更 多 的 是 去 应援 ！ 应援 ！ 应援 ！
",p
"而 本次 演唱会 有 哪些 应援 亮点 ， 又 有 哪些 值得 领取 的 礼包 呢 ， 我们 拭目以待
",p
"四家 都 已经 集结 好 了 夜排 人员 ， 产品 鸟团 ！
",p
"再 来 就是 蟹 工坊 ， 也 蛮 大 的 ， 很 亮 ， 但 内容 还是 .... 很 具有 产 的 代表性
",p
"第三个 站子 坝坝 挺 ， 全名 大灯 幅 。 个人 觉得 名字 做大必 做 一些 乱七八糟 的 言语 好 一点 。
",p
"品是 大 站子 还 没有 出动 吗 ？ 最后 再说 他 好 了 ， 没 看到 几个 哎
",n
"下面 来 看看 我们 团草 。 某草们 今年 弄 的 挺 好
",p
"占 一层 ， 本来 想开 这个 楼 呢 ， 又 懒得 去 别家 找图 ， 就 放弃 了
",n
"他们 用 行动 诠释 了 什么 叫做 花钱买 罪受
",n
"长路 经过 上次 的 风波 之后 有点 自暴自弃 ， 应援 中规中矩 ， 之所以 单独 给 他 开个 ， 毕竟 是 帝国 的 老 站子 ， 有 感情 了
",n
"此楼 刷下来 太费 流量 ， 需要 wifi
",n
"别的 不 求 ， 大家 一定 要 竞争 就 比 应援 吧 ， 别 又 抢 位子 又 打人 ， 搞 上 热 搜 都 不 好看
",n
"鸟 今年 大站 子 也 一些 还 没出 ， 随便 放些 ， 大家 略 看
",n
"围观 。 。
",p
"品 的 n 站 今年 没大有 灯幅 ， 还有 一个 站子 也 出 了 ， 不过 看起来 不亮
",p
"今年 透扇 个家 必备 ， 很 流行 哦
",p
"我 记得 pve 军团 是 满灯
",p
"搬 板凳 来 吃 瓜 围观
",p
"还有 其他 站子 出 了 公告 大家 都 来 贴 哈
",p
"总结 一下 目前 的 情况 ， 产 的 灯幅 大 而 多 ， 且 有 满灯 灯幅 。
",p
"团 的 也 不错 ， 创意 取胜 ， 很 可爱 的 啵 啵 啵
",p
"鸟和品 感觉 大 部队 还 未动 ， 需要 努力 啦
",n
"这个 镇楼 图 好玩
",p
"求别 在 打 上 热 。 搜 了 ， 你们 是 爽 了 ， 连累 了 安静 的 那 一家 被 骂 * *
",n
"pve 应援 公告 早出 了
",p
"今年 产品 都 有 满灯 灯幅 了 鸟鸟 加油
",p
"夜排 的话 出点 摩擦 很 正常 ， 特别 是 帝国 来说
",p
"拳头 多 厉害 ， 亮出 才 精彩
",p
"就 希望 打架 的 别 打 上 热 。 搜 ， 少 点 水花
",n
"还有 一个 小站 子 mingzihaoqihuai
",p
"还是 7 号 ？ 没 航班 啊 。
",n
"上面 的 太辣 眼睛 了
",n
"不 喜欢 日本 文化 。 。
",n
"忘 了 在 哪里 看到   有人 说 延期 了   7 号 不 去
",n
"到底 几号 ？ 狗 屠 sj 我糊袋 也 应该 不会 七号 去 吧 ！ 其实 去 霓虹 也好 ， 又 多个 国家 可以 看看 。 希望 波 有点 时间 出去 转转
",p
"浴衣 木屐 卷 毛毛 ~
",p
"去 日本 啊 ， 那 必须 兜裆布 小 雨衣 护士服 什么 的 来 一遍 啊
",p
"小 雨衣 ， 哈哈哈哈 ， 你们 梦 吧 ， 首先 某波 打死 也 不会 露 的 。
",p
"日本 ？
",p
"7 月 刚好 是 花火 大会 和 夏 祭 り 开始 的 时候 啊 ~ 不过 他们 要 晚 两个 星期 去 就 好 了 ， 那个 时候 东京 几个 有名 的 花火 大会 都 会 举办
",p
"想 看 日本 女士 的 衣服
",p
"有没有 可能 是 上 一个 的 续集 ？ xw 是 手机 精 ， 得到 能量 后 升级成 r11 ， 然后 变得 更 强大 功能 更 多 …
",p
"回来 不 一起 哎
",n
"别想 了 ， 你 boys 身份 特殊 ， 穿个 和服 都 很 容易 被 发散 ， 还是 保守 谨慎 为 好 。
",n
"机票 改到 8 号 了 ？ 草 一个个 急 的 ， 本来 这种 行程 也 没 多少 人 知道 你 去 啊 ， 这么 一闹 知道 你 啵 去 霓虹 的 人 还 多 了 ， 要 真想 黑 你 ， 8 号 去 照样 黑
",n
"有 猫 病 怎么 不 一起 回来
",n
"哈哈哈哈 哈哈哈 这 组合 怎么 肥 4
",n
"看见 航班 可以 了 ， 好 有 团魂 ， 一人 一天 ， 按 名字 字数 回来
",p
"早 回来 早好 ， 开心
",p
"好累 哦 ， 都 不能 玩儿 几天
",n
"先 回来 的 有 其他 工作 呗 ， 没事 的 就 多 玩 两天 ， 这时候 咋 都 这么 有团魂 了
",p
"有没有 航班信息 啦   好心人 share 一下 吧
",p
"看到 有发 行程 的 ， 比 之前 看到 的 都 要 提前 一天 回来 ， 三个 人 还是 不同 航班
",p
"xw 要 去 杭州 为什么 不 直接 日本 飞去 ？ 还要 回 北京 遛 一圈 ？
",p
"就 好奇 内容 吗 ？ 这时候 做 一个 菜 啵 们 可以 去 参加 什么 烟火 祭捞 金鱼 吃 棉花 糖 什么 的 只要 不要 动不动 尬 舞 就 行
",p
"許久 沒來 ， 他們 竟然 要來 日本 了 ！ 在 東京 那麼 久 ， 我終 於 有 機會 見 到 他們 了 ！ 怎麼 沒有 航班 阿 ！ 我 打算 今晚 就 去 睡 機場 的 說 ～ 那個 厲害 的 人 有 航班 時間 啊 ！ 我覺 著 這是 我 唯一 能見 到 愛豆 的 機會 了 ！ ！ ！ ！ ！ ！
",p
"手上 怎么 那么 多疤 呢
",n
"唱 了 boyfriend   全是 气音   我 快 听 岔气 了
",n
"他 是不是 打瘦 脸针 了 ， 至 从 中秋 三人 央视 照妖镜 下 ， 他 的 脸 最大 ， 之后 好像 他 的 脸 小 了 一圈 ， 是 剪 了 头发 ， 还是 打 了 瘦 脸针 ？
",n
"有没有 鸟来 夸 一下 ？ 带 diss 滤镜 的 名额 已经 满 了 …
",n
"算 逑 大妈 要配 老花镜 了
",n
"对不起 大家
",n
"半天 不见 丑 柑头 又 大 了 两圈
",n
"没有 全开 麦 吧 ！ 有 其他 声音 ， 失望 了
",n
"钱包 的 应援 和 公益 也 蛮 高大上 的 。
",p
"请问 他 衣服 应该 不是 某个 大牌 吧 ， 没有 diss 大牌 的 意思 ， 就 真的 是 很 乡土 … …
",n
"是 我 的 错觉 吗 ？ 我 怎么 觉得 钱包 的 鼻子 👃 变 了
",n
"看到 好心 人士 推荐 给 鸟 jj 们 的 同款
",p
"我 就 闲着没事 上 一下 饭圈 号   小汤圆 干嘛 这么 残酷
",n
"。 。 。 。 。 溜 了 溜 了 。 。 。
",n
"预警   好 吗
",n
"钱包 干皮 惹
",n
"gg 今天 过生日 ， 怎么 一点 水花 都 没见 。 。 。
",n
"干皮 不要 用妆 感重 的 粉底液
",n
"我   靠 … 预警     大型 预警 我 靠
",n
"上班 期间 不能 明目张胆 的 看 直播 好心 塞 ~ ~ 刚 偷偷 点 进去 看 了 一眼 ， 这 应援 总结 视频 怎么 一点 在 平时 没 感觉 到 。 。 连个 路 人 repo 也 没有 ， 。 。 。 然后 还 没 来得及 看 舞蹈 听 音乐 就关 了 。 。 。 一会儿 再点 进去 看 ， 怎么 还有 互动 浪费时间 真是
",n
"可是 不用 妆 感重 的 粉底液       就 遮不住 脸上 的 一些 问题 惹
",n
"鼻子 变 了 吗 ？
",n
"钱包 的 鼻尖 是 很 明显   是 玻 尿酸 扩散 了 吗
",n
"我 靠 你们 有毒 吧 ！ ！ ！ 这 谁 出 的 图 啊 ！ ！
",n
"溜 肩 穿 大衣 真的 不 好看 ， 楼上 怎么回事 ， 放图 吓人 ， 倒叙 预警
",n
"好像 做 了 鼻尖 ?
",n
"我 靠 你们 有毒 吧 ！ ！ ！ 这 谁 出 的 图 啊 ！ ！
",n
"～ ～ ～
",n
"这锅 可不是 xty 的 ， 这 是 人 ssq 博主出 的 图
",n
"拜托 你们   预警 好 吗
",n
"禁 rs 楼主
",n
"哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈 哈哈哈
",p
"时隔多年 小 啵 们 终于 铜矿 了 ， 你们 激不 激动
",p
"这 是不是 都 是 最 新鲜 的 啵 ， 看看 他们 的 变化 吧 😄
",p
"铜矿 全靠 p
",n
"抠 图 同框 也是 没 谁 了 ， 违和感 下线
",n
"铜矿 全靠 p
",n
"… …
",n
"现在 能 有 可以 公开 p 在 一起 的 机会 已经 很 难得 了 啊
",p
"颜值 对比 强烈
",n
"p 在 一起 也 叫 铜矿 啊
",n
"俊凯 坠 心机 惹 ， 打光 打 得 人群 中 他 最 耀眼 ， 明明 是 黑 皮厚
",n
"绝望 了 ， 圆圆 脸肿 鼻子 大 ， 钱包 仿佛 苍老 十岁
",n
"gg 脖子 瞩目
",n
"看到 ps 痕迹 。 我 …
",n
"都 不敢 给 gg 近景 ， 太辣眼 了
",n
"明明 xw 那么 帅
",p
"新鲜 不 ， 小 啵 新鲜 不 → _ →
",p
"我 宝宝 的 视频 好怪 ， 全靠 脸撑 了
",n
"这 好好 唱歌
",p
"颜值 ， 气质 ， 语言 表述 和 思想境界 真是 不可同日而语
",p
"新鲜 个 p 啊             不 知道 什么 时候 拍 的 拼在一起     xw 的 在 洛杉矶 的 衣服
",n
"有 好 的 作品 ， 帮助 其他人
",p
"新鲜 个 p 啊   不 知道 什么 时候 拍 的 拼在一起   xw 的 在 洛杉矶 的 衣服
",n
"… …
",n
"那 不 就是 这 两天 吗 ， 还 不 新鲜 啊
",p
"楼主 在 表演 鸟鸟 怎么 装团 饭
",n
"我 现在 每天 的 动力 就是 看 我家 yy 了
",p
"新鲜 个 p 啊   不 知道 什么 时候 拍 的 拼在一起   xw 的 在 洛杉矶 的 衣服
",n
"… …
",n
"那 不 就是 这 两天 吗 ， 还 不 新鲜 啊
",p
"… …
",n
"另外 两个 不 知道 两天 也 不鲜 啊
",n
"小时候 真的 很 喜欢 她
",p
"杰哥 怎么 会 去 这个 节目 勒
",n
"fine 我 不 喜欢 浓妆艳抹 的 男 的 ， 恶心
",n
"铁甲 每期 只有 一个 小时 ？
",n
"余罪 三 什么 时候 出来
",p
"好 中 二 哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈
",p
"zs 确实 流量 很大 哇
",p
"铁甲 好看 吗 ？
",p
"还 可以 ， 我 喜欢 这种 机械类
",p
"连 火箭 工程师 都 有
",p
"i   like   it
",p
"好 吧
",p
"后面 很燃 啊
",p
"沙尘暴 好 n   . b
",p
"wz 真暖 男 啊
",p
"有趣 的 人少 了 很多
",n
"maybe
",n
"嗯 嗯
",p
"当然 也 可能 是 我 变 无聊 了
",n
"原来 极 挑 是 今晚 播出
",p
"先导 片 的 求生欲 很强 了 哈哈哈 哈哈哈 哈哈哈 要 不要 再 把 hx 请来 当 嘉宾 啊
",p
"日   还是 大 胸妹 ， 我 爱 max
",p
"推荐 铁甲 雄心 ， 没有 乱七八糟 的 ， 直接 打 ， 机器人 直接 打 ， 很燃 。
",p
"还有 三万 了
",p
"快 忍不住 了 怎么 可以 拍 得 这么 悄悄 咪咪 的 失踪 儿 砸 去 哪里 了
",n
"发 ins 感觉 离 我 好 远 啊
",n
"我 大大方方 承认 ， 我 早就 爬墙 了 ， 毕竟 也 饭 过 ， 不会 回 踩 。 可是 就 不 找 找 粉丝 都 爬墙 的 理由 吗 ？ boys 真的 没有 任何 优势 了
",n
"如果 不爱 了 ， 不 追星 也 可以   爬墙 。 。 。 不能 想象 ， 有些 感情 只有 对 一个 人才 会 有
",n
"麻袋 吧 真糊 了 😂
",n
"我 觉得 钱包 挺 美的         美艳 动人
",p
"图 都 看 完 了 ， 我 先 吐 。
",n
"新浪 音乐 出 boyfriend 了 。 。 。 听 了 一下 。 。 。 有 两个 声音 。 。 。 。 地下 粉丝 控评 太快 了 三分钟 上百 评论 了 。 。 。 有没有 路 人 说话 的 地 了 。 。 。 这歌 得修 一下 再发 吧 ， 太黑 了 这样 。 。 。 已经 完全 听不出 是 这 首歌 了 。 。 。
",n
"互动 时 长 有点 多 。 唱歌跳舞 才艺 表演 就 少 了 。
",n
"这 都 穿 的 啥 啊
",n
"哇 靠 ， 和 粉丝 打电话
",n
"鼻子 变 好看 了 ！
",p
"请放图 的 各位 手下留情 ！ 现在 看 眼科 估计 得 排队 ！
",n
"很 明显 了 吧
",p
"鸟鸟 日常 贴 xw
",p
"这 鼻子 还 好看 呢 ， 哈哈哈哈 哈哈哈 哈哈哈
",n
"纸鸟 莫不是 疯 了
",n
"感觉 削 了 鼻头 的 肉 啊
",n
"ctm   日常 碰瓷 王 又 来 了 。
",n
"生日 也 不 给 丑 干 积德 ， 碰 你 妈 的 瓷
",n
"穿 的 啥 呀 ， 可怕 千千 大红 那套 丑死 了
",n
"鸟鸟 ， 请 看 图片 logo ， 我 已经 找 的 是 最美 的 了 。
",p
"鸟鸟 ， 请 看 图片 logo ， 我 已经 找 的 是 最美 的 了 。 2
",p
"鸟鸟 ， 请 看 图片 logo ， 我 已经 找 的 是 最美 的 了 。 3
",p
"鸟鸟 ， 请 看 图片 logo ， 我 已经 找 的 是 最美 的 了 。 4
",p
"好 美的 牙齿
",p
"头 真的 好大
",n
"鸟鸟 ， 请 看 图片 logo ， 我 已经 找 的 是 最美 的 了 。 5
",p
"像 个 棒槌
",n
"死鸟 ， 我 找 的 可 都 是 媒体 发 的 图 。
",n
"服装 什么 牌子 有 扒 的 吗
",p
"不管 啥 内容 都 期待 一下
",p
"去 日本 当然 吃 吃 寿司 🍣 ， 走走 动漫 街 ， 泡泡 温泉 … 不要 工作 啦
",p
"8 号 去 ， 还 不是 一起 回来
",p
"踢 一脚
",n
"忘记 有 这个 楼 了 ， 呵呵
",p
"上次 波去 韩国 也 没 怎么 玩吧 ， 毕竟 是 工作 行程 ， 只 记得 观 海里 ， 逛街 买糖 ， 小 g 去 蹲 他 偶像 ， 还有 吃 烧烤 。 这次 不 知道 小 波 ， 能 不能 挪出 时间 来 耍 一耍 ！
",p
"碧石 这楼 又 是 新 的 战场
",n
"大家 真的 分开 开楼 啦 ， 。 好 吧 ， 我们 亲爱 滴提 爱抚 hhy   呀
",p
"这是 一点 图 都 没有 啊 ？ ！ 想想 去年 在 三亚 拍微 电影 时 ，
",p
"https : m . weibo . cn52921076944127663834677764 肉 饱饱
",p
"所以 今天 拍 的 是 室内 吗 ， 拍 室内 为什么 要 跑 日本 去
",p
"所以 今天 拍 的 是 室内 吗 ， 拍 室内 为什么 要 跑 日本 去
",p
"日本 团队 啊   看到 视频 里 工作人员 是 日本 人
",p
"都 是 分开 活动 的 吗 ？ 上班 的 ， 逛街 的 ， 看 电影 的 ？
",p
"墨绿色 的 外套 好看 唉
",p
"分开 拍摄 ？
",p
"所以 今天 拍 的 是 室内 吗 ， 拍 室内 为什么 要 跑 日本 去
",p
"日本 团队 啊   看到 视频 里 工作人员 是 日本 人
",p
".....
",n
"希望 日本 团队 拍 出来 的 小 清新 一点 吧
",p
"小 啵 怎么 不 在 一起 呀
",n
"我 喜欢 宽大 偏日系 的 那件 衣服
",p
"终于 有 动静 了 ？
",p
"分开 拍 ？ 开心 ， 太好了
",p
"分开 拍   你好 我 好 大家 好   各家 都 满意
",p
"终于 有图 了
",p
"终于 有点 图来 舔 舔 了
",p
"希望 广告片 里 每个 人 都 有 一个 完整 的 故事 。
",p
"其实 偶像 最 重要 的 就是 优秀作品 ， 而 不是 炒作
",p
"未来 不忘 初心
",p
"哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈 对比 哈哈哈 哈哈哈 886 真够 好玩 的 哈哈哈 哈哈哈 哈哈哈
",p
"新鲜 个 p 啊   不 知道 什么 时候 拍 的 拼在一起   xw 的 在 洛杉矶 的 衣服
",n
"… …
",n
"那 不 就是 这 两天 吗 ， 还 不 新鲜 啊
",p
"… …
",n
"另外 两个 不 知道   两天 也 不鲜 啊
",n
"… …
",n
"两天 还 不 新鲜 ？ 冬天 都 到 了 ， 保持 两天 也 不会 坏 啊
",p
"哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈 对比 残忍
",n
"其实 偶像 最 重要 的 就是 优秀作品 ， 而 不是 炒作
",p
"… …
",n
"你 干嘛 学 wy 说话
",n
"对比 的确 惨烈
",n
"我 截图 没截 好 ， 不要 用 这个 评价 胭脂
",n
"新鲜 个 p 啊   不 知道 什么 时候 拍 的 拼在一起   xw 的 在 洛杉矶 的 衣服
",n
"… …
",n
"那 不 就是 这 两天 吗 ， 还 不 新鲜 啊
",p
"… …
",n
"另外 两个 不 知道   两天 也 不鲜 啊
",n
"… …
",n
"两天 还 不 新鲜 ？ 冬天 都 到 了 ， 保持 两天 也 不会 坏 啊
",p
"… …
",n
"你 脑子 有 坑         还有 你 把 你 的 那个 美图楼   禁 那个 酸奶   太 恶心 了 她
",n
"狗 屠死妈 ， 我 y 宝宝 的 声音 被 变声 了 吧
",n
"唉 xw 的 脸 就是 鼻子 不 好看 ， 大 了 点 ， 其他 都 挺 完美 的 。
",n
"楼主 在 表演 鸟鸟 怎么 装团 饭
",n
"868 = 434 双杀
",n
"粗 脖怪   胖头鱼
",n
"只有 一个 敢 用 大特写 ， 另 两个 。 。 。 摄影师 懂
",n
"哈哈哈 哈哈哈 ， 抠 图 boys ， 我 男朋友 真 好看
",p
"本来 都 不忍心 说 ， 好好看 你家 两 * * 呗 ， 非 要 犯贱
",n
"ssfj 一天 不 对 xw 使 绊子 就 会 死 吗
",n
"美图秀 秀 p 了 一下 ， xty 觉得 怎么样 ， 有没有 更好 看 更 秀气 一点
",p
"kk .       gg   真的 是 好丑 啊
",n
"gg 是 丑 ， kk 是 畸形 ， kk 的 眼睛 和 眉毛 都 不 对称
",n
"gg 的 实在 不 知道 怎么 p 了 ， 鼻子 那俩 黑洞 怎么 缩小 都 特别 黑 特别 大 我 放弃 了
",n
"dw 眼睛 和 眉毛 都 不 对称 ， 还 大于 ， 真 好意思
",n
"屠夫 真是 一 合体 有 一点 机会 都 要 给 wy 使 绊子 ， 本质 low 货粉
",n
"看 疯俊 把 孩子 累 的 脸上 的 皮 都 松 了
",n
"看看 你 准备 怎么 p 你家 胖头鱼
",n
"那个 p 图 的 是 大叔 吧 ， p 图 工具 用 的 简直 一言难尽 。 。 。
",n
"dw 脸大 五官 小 ， 还是 得 减肥 ， 不然 显脸 胖
",n
"都 强 打光 了 还 需要 p 什么 ， 肯定 是 看到 那天 央视 采访 不 p 图 不能 见 人 了
",n
"怎么 不 p 了 你家 胖头鱼 丑到 你 直接 放弃 了
",n
"你 才 是 大叔 ， 你 全家 都 是 大叔
",n
"北极星
",p
"围观 ！
",p
"团 的 那个 1 米 灯牌 啵 啵 啵 链接 拍 了 1000 +
",p
"今年 团 没 跟 纸鸟 一堆 还是 有 优势 的 ， 不然 压根 就是 给 红色 做 应援
",p
"草们 那个 站 除了 中间 一个 好像 今年 都 买 对 电池 了
",p
"镇楼 图好 red 吗 ？ 看到 其他 属性 之前 用过
",p
"哈哈哈哈 哈哈哈 ， 你 的 四周 年 着装 贴 都 糊 了 ， 你 怎么 又 开 一个
",n
"本代去 四周 年 ， 到时候 给 大家 现场直播 哈
",p
"不开麦 叫 什么 演唱会 。 侮辱 歌手
",n
"求草别 色盲 ， 备好 足够 的 电池 。 别 再说 因为 电池 变色 了 。 尴尬
",n
"草 今年 都 偏向 于 黄色 了
",n
"品 后援会 全名 大灯 幅
",p
"这些 灯牌 不会 挡 着 别人 看波 吗 ？
",n
"产 今年 刚 出来 的 几个 新站 子 都 挺 拼 的 ， 贴个 小 恶魔 站
",p
"大 的 能带 进去 ？ ？ ？
",n
"产 的 真的 亮 、 大 、 多
",p
"产 今年 很 拼 啊
",p
"不 拼要 黑脸 的
",n
"灯牌 弄 得 那么 花哨 干嘛 ？ 我 还是 觉得 名字 的 最 好看
",n
"海贼王 三个 字 还是 黄色 的 ， 草草 们 高兴 了 这么 大 还是 xpx 最有 团魂 了
",p
"产 大概 真是 三周年 受刺激 了 ， 今年 炒鸡 拼 呀
",p
"目前 三家 811 人数 统计 ， 鸟 1100 ＋ ， 品 1020 ＋ ， 产 910 ， 灯 副 都 是 传说 ， 人数 多才 是 真 ， 红绿 盛世 预定 ！
",p
"813 才 要 拼 呢 会 直播 的
",p
"团 就 该 弄 黄色   黄色 点亮 后 和 橙色 没差 多少
",p
"终于 有人 开 了
",p
"刚好 首页 有 ， 很 喜欢 那个 爱心
",p
"。 又 一个 满灯 灯幅 ！ ！ ！ ！ ！ 还是 大站 子 硬气 ， 品 的 骑士 终于 来 了
",p
"今年 应援 各家 都 弄 了 满灯 灯幅 ， 灯幅 嘛 就是 够 亮够 大才 过瘾
",p
"一辈子 又 不会 喜欢 一个 偶像 ， 我 还是 从 四大 流量 之一 爬 到 boys 这来 的 呢 。 最近 忙 着 工作 吃 鸡 ， 追星 其实 已经 淡 了 很多 了 。
",n
"我 也 粉过 四大 之一 ， 但 那种 感情 和 现在 的 不 一样 ， 那 时候 只是 跟风 追星 ， 而 真的 心动 真的 只会 对 一个 人有   眼里 再 装不下 其他人 。
",p
"如果 不爱 了 ， 淡 了 ， 那 也 会 是 白月光 ， 无法 替代
",p
"人生 不如意 的 事 ， 十之八九 亿
",n
"被 6 支配 很 久
",p
"画手 很 * *
",p
"我 啥时候 能练 到 这 程度
",p
"设计 东西 好 麻烦 ， 脱发 女孩 指日可待
",n
"可 可爱 爱
",p
"有限 的 生命 浪费 在 无限 的 追星 上 ， 我 还是 卸载 不了 贴 吧
",n
"刚才 微博 看到 举重 妖精 金福珠 男主拉女 主挡 轿车 溅 过来 的 水 ， 哈哈哈 哈哈哈 ， 男主贱 兮兮 的
",p
"咦 ， 好久没 来 ， md 好像 恢复 了 点儿 正常 的 感觉
",p
"正常 吗
",n
"戛纳
",p
"一则 笑话
",p
"真的 很 好笑 ， 正好 正主 实现 了 这 一 扫帚 ， 好响 的 声音
",n
"这 两天 看大 主宰 看 得 停不下来
",p
"岛民 已经 凉 了 ， 不要 再 鞭尸 了
",n
"谁 在 顶 坟 贴
",n
"不 知道 ， 芊芊 还 在 呢
",p
"后来 的 我们 看着 预售 很 高 诶 ， 这种 文艺片 有点 666
",p
"现在 拜读 岛民 的 著作 感觉 像 看笑话 一样 ， 让 我 在 难挨 的 日子 里 笑 出 了 声
",p
"文艺片 很少 看 ， 上 一次 看 的 是 头号 玩家
",n
"哈哈哈 哈哈哈 哈哈哈 你 还 看 这些
",n
"我 也是 ， 看 了 芳华 给 我 的 感官 并 不太好 受 。
",n
"芳华 很多 人 看 耶 ， 但 我 不 喜欢 某刚 ， 所以 没有 看
",n
"注水 很 厉害
",n
"那 我 还是 看复联 吧
",p
"铁甲 是 真的 挺 好看 的
",p
"大 主宰 好多 打斗 戏 ， 特效 必须 得 很 好 吧
",p
"跟 dw 站 在 一起 像是 要 吃 了 dw 似的 ， 好凶
",n
"美国 读 的 高中 叫 Oakwoods   Friends   School ,   是 纽约州 的 一所 私立高中 。 在 学校 人缘 不错 ， 女性朋友 有 很多 ， 她 也 经常 帮着 她 的 朋友 们 的 TB 店 打广告 。
",p
